Full Management address,Service Name,Service Number,Enrollment total,Max licensed positions total,Count Service Number,Owner name,Funder name,Company source link,Owner source link,Additional source if necessary,Methodology to link,Notes
"P O Box 93, Takanini Auckland 2245",Manukau Central Kindergarten,5615,31,40,1,Counties Manukau Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=deba09ce-f956-dd11-9c42-0015c5f3da29&searchId=2fffd5b5-4da0-49fc-87d0-5ab8daacb583,https://www.cmka.org.nz/,,,Non-profit
"P O Box 93, Takanini Auckland 2245",Manurewa West Kindergarten,25032,23,30,1,Counties Manukau Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=deba09ce-f956-dd11-9c42-0015c5f3da29&searchId=2fffd5b5-4da0-49fc-87d0-5ab8daacb583,https://www.cmka.org.nz/,,,Non-profit
"P O Box 93, Takanini Auckland 2245",Mason Avenue Kindergarten,5124,59,40,1,Counties Manukau Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=deba09ce-f956-dd11-9c42-0015c5f3da29&searchId=2fffd5b5-4da0-49fc-87d0-5ab8daacb583,https://www.cmka.org.nz/,,,Non-profit
"P O Box 93, Takanini Auckland 2245",Nina Busing Kindergarten,5125,55,40,1,Counties Manukau Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=deba09ce-f956-dd11-9c42-0015c5f3da29&searchId=2fffd5b5-4da0-49fc-87d0-5ab8daacb583,https://www.cmka.org.nz/,,,Non-profit
"P O Box 93, Takanini Auckland 2245",Papakura North Kindergarten,5127,28,40,1,Counties Manukau Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=deba09ce-f956-dd11-9c42-0015c5f3da29&searchId=2fffd5b5-4da0-49fc-87d0-5ab8daacb583,https://www.cmka.org.nz/,,,Non-profit
"P O Box 93, Takanini Auckland 2245",Papakura West Kindergarten,5126,45,40,1,Counties Manukau Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=deba09ce-f956-dd11-9c42-0015c5f3da29&searchId=2fffd5b5-4da0-49fc-87d0-5ab8daacb583,https://www.cmka.org.nz/,,,Non-profit
"P O Box 93, Takanini Auckland 2245",Pukekohe Central Kindergarten,5129,38,40,1,Counties Manukau Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=deba09ce-f956-dd11-9c42-0015c5f3da29&searchId=2fffd5b5-4da0-49fc-87d0-5ab8daacb583,https://www.cmka.org.nz/,,,Non-profit
"P O Box 93, Takanini Auckland 2245",Redoubt North Kindergarten,5130,43,40,1,Counties Manukau Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=deba09ce-f956-dd11-9c42-0015c5f3da29&searchId=2fffd5b5-4da0-49fc-87d0-5ab8daacb583,https://www.cmka.org.nz/,,,Non-profit
"P O Box 93, Takanini Auckland 2245",Roscommon Kindergarten,5131,35,40,1,Counties Manukau Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=deba09ce-f956-dd11-9c42-0015c5f3da29&searchId=2fffd5b5-4da0-49fc-87d0-5ab8daacb583,https://www.cmka.org.nz/,,,Non-profit
"P O Box 93, Takanini Auckland 2245",Tuakau Kindergarten,5621,39,30,1,Counties Manukau Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=deba09ce-f956-dd11-9c42-0015c5f3da29&searchId=2fffd5b5-4da0-49fc-87d0-5ab8daacb583,https://www.cmka.org.nz/,,,Non-profit
"P O Box 93, Takanini Auckland 2245",Waiau Pa Kindergarten,5640,39,30,1,Counties Manukau Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=deba09ce-f956-dd11-9c42-0015c5f3da29&searchId=2fffd5b5-4da0-49fc-87d0-5ab8daacb583,https://www.cmka.org.nz/,,,Non-profit
"P O Box 93, Takanini Auckland 2245",Waiuku Kindergarten,5133,46,40,1,Counties Manukau Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=deba09ce-f956-dd11-9c42-0015c5f3da29&searchId=2fffd5b5-4da0-49fc-87d0-5ab8daacb583,https://www.cmka.org.nz/,,,Non-profit
"P O Box 93, Takanini Auckland 2245 Total",,,1178,1161,28,Counties Manukau Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=deba09ce-f956-dd11-9c42-0015c5f3da29&searchId=2fffd5b5-4da0-49fc-87d0-5ab8daacb583,https://www.cmka.org.nz/,,,Non-profit
"P O Box 951, Tauranga Tauranga 3140",Arataki Free Kindergarten,5207,38,45,1,Tauranga Regional Free Kindergarten Association Incorporated dba Inspired Kindergartens,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=f76e9429-e989-dc11-98a0-0015c5f3da29&searchId=ed73317a-e1b0-4199-9a0c-6d31ae15d5af,,https://opencorporates.com/companies/nz/9429042828730,,Known mostly as Inspired Kindergartens
"P O Box 951, Tauranga Tauranga 3140",Avenues Kindergarten,5560,49,42,1,Tauranga Regional Free Kindergarten Association Incorporated dba Inspired Kindergartens,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=f76e9429-e989-dc11-98a0-0015c5f3da29&searchId=ed73317a-e1b0-4199-9a0c-6d31ae15d5af,,https://opencorporates.com/companies/nz/9429042828730,,Known mostly as Inspired Kindergartens
"P O Box 951, Tauranga Tauranga 3140",Brookfield Free Kindergarten,5208,33,42,1,Tauranga Regional Free Kindergarten Association Incorporated dba Inspired Kindergartens,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=f76e9429-e989-dc11-98a0-0015c5f3da29&searchId=ed73317a-e1b0-4199-9a0c-6d31ae15d5af,,https://opencorporates.com/companies/nz/9429042828730,,Known mostly as Inspired Kindergartens
"P O Box 951, Tauranga Tauranga 3140",Greerton Village Kindergarten,5209,43,45,1,Tauranga Regional Free Kindergarten Association Incorporated dba Inspired Kindergartens,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=f76e9429-e989-dc11-98a0-0015c5f3da29&searchId=ed73317a-e1b0-4199-9a0c-6d31ae15d5af,,https://opencorporates.com/companies/nz/9429042828730,,Known mostly as Inspired Kindergartens
"P O Box 951, Tauranga Tauranga 3140",Gwen Rogers Free Kindergarten,5210,60,45,1,Tauranga Regional Free Kindergarten Association Incorporated dba Inspired Kindergartens,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=f76e9429-e989-dc11-98a0-0015c5f3da29&searchId=ed73317a-e1b0-4199-9a0c-6d31ae15d5af,,https://opencorporates.com/companies/nz/9429042828730,,Known mostly as Inspired Kindergartens
"P O Box 951, Tauranga Tauranga 3140",Karamuramu Kindergarten,5188,26,45,1,Tauranga Regional Free Kindergarten Association Incorporated dba Inspired Kindergartens,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=f76e9429-e989-dc11-98a0-0015c5f3da29&searchId=ed73317a-e1b0-4199-9a0c-6d31ae15d5af,,https://opencorporates.com/companies/nz/9429042828730,,Known mostly as Inspired Kindergartens
"P O Box 951, Tauranga Tauranga 3140",Katikati Free Kindergarten,5614,35,30,1,Tauranga Regional Free Kindergarten Association Incorporated dba Inspired Kindergartens,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=f76e9429-e989-dc11-98a0-0015c5f3da29&searchId=ed73317a-e1b0-4199-9a0c-6d31ae15d5af,,https://opencorporates.com/companies/nz/9429042828730,,Known mostly as Inspired Kindergartens
"P O Box 951, Tauranga Tauranga 3140",Matua Kindergarten,40035,34,37,1,Tauranga Regional Free Kindergarten Association Incorporated dba Inspired Kindergartens,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=f76e9429-e989-dc11-98a0-0015c5f3da29&searchId=ed73317a-e1b0-4199-9a0c-6d31ae15d5af,,https://opencorporates.com/companies/nz/9429042828730,,Known mostly as Inspired Kindergartens
"P O Box 951, Tauranga Tauranga 3140",Maungaarangi Kindergarten and Family Centre,45432,31,40,1,Tauranga Regional Free Kindergarten Association Incorporated dba Inspired Kindergartens,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=f76e9429-e989-dc11-98a0-0015c5f3da29&searchId=ed73317a-e1b0-4199-9a0c-6d31ae15d5af,,https://opencorporates.com/companies/nz/9429042828730,,Known mostly as Inspired Kindergartens
"P O Box 951, Tauranga Tauranga 3140",Maunganui Kindergarten,40097,36,30,1,Tauranga Regional Free Kindergarten Association Incorporated dba Inspired Kindergartens,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=f76e9429-e989-dc11-98a0-0015c5f3da29&searchId=ed73317a-e1b0-4199-9a0c-6d31ae15d5af,,https://opencorporates.com/companies/nz/9429042828730,,Known mostly as Inspired Kindergartens
"P O Box 951, Tauranga Tauranga 3140",Maungatapu Free Kindergarten,5211,46,45,1,Tauranga Regional Free Kindergarten Association Incorporated dba Inspired Kindergartens,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=f76e9429-e989-dc11-98a0-0015c5f3da29&searchId=ed73317a-e1b0-4199-9a0c-6d31ae15d5af,,https://opencorporates.com/companies/nz/9429042828730,,Known mostly as Inspired Kindergartens
"P O Box 951, Tauranga Tauranga 3140",Opeys Kindergarten,40041,72,60,1,Tauranga Regional Free Kindergarten Association Incorporated dba Inspired Kindergartens,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=f76e9429-e989-dc11-98a0-0015c5f3da29&searchId=ed73317a-e1b0-4199-9a0c-6d31ae15d5af,,https://opencorporates.com/companies/nz/9429042828730,,Known mostly as Inspired Kindergartens
"P O Box 951, Tauranga Tauranga 3140",Otamarakau Kindergarten,47560,24,21,1,Tauranga Regional Free Kindergarten Association Incorporated dba Inspired Kindergartens,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=f76e9429-e989-dc11-98a0-0015c5f3da29&searchId=ed73317a-e1b0-4199-9a0c-6d31ae15d5af,,https://opencorporates.com/companies/nz/9429042828730,,Known mostly as Inspired Kindergartens
"P O Box 951, Tauranga Tauranga 3140",Otumoetai Free Kindergarten,5212,53,45,1,Tauranga Regional Free Kindergarten Association Incorporated dba Inspired Kindergartens,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=f76e9429-e989-dc11-98a0-0015c5f3da29&searchId=ed73317a-e1b0-4199-9a0c-6d31ae15d5af,,https://opencorporates.com/companies/nz/9429042828730,,Known mostly as Inspired Kindergartens
"P O Box 951, Tauranga Tauranga 3140",Paengaroa Free Kindergarten,5215,50,43,1,Tauranga Regional Free Kindergarten Association Incorporated dba Inspired Kindergartens,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=f76e9429-e989-dc11-98a0-0015c5f3da29&searchId=ed73317a-e1b0-4199-9a0c-6d31ae15d5af,,https://opencorporates.com/companies/nz/9429042828730,,Known mostly as Inspired Kindergartens
"P O Box 951, Tauranga Tauranga 3140",Papamoa Coast Kindergarten,30113,45,40,1,Tauranga Regional Free Kindergarten Association Incorporated dba Inspired Kindergartens,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=f76e9429-e989-dc11-98a0-0015c5f3da29&searchId=ed73317a-e1b0-4199-9a0c-6d31ae15d5af,,https://opencorporates.com/companies/nz/9429042828730,,Known mostly as Inspired Kindergartens
"P O Box 951, Tauranga Tauranga 3140",Papamoa Free Kindergarten,5569,33,45,1,Tauranga Regional Free Kindergarten Association Incorporated dba Inspired Kindergartens,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=f76e9429-e989-dc11-98a0-0015c5f3da29&searchId=ed73317a-e1b0-4199-9a0c-6d31ae15d5af,,https://opencorporates.com/companies/nz/9429042828730,,Known mostly as Inspired Kindergartens
"P O Box 951, Tauranga Tauranga 3140",Tai O Fenua Kindergarten,47905,30,30,1,Tauranga Regional Free Kindergarten Association Incorporated dba Inspired Kindergartens,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=f76e9429-e989-dc11-98a0-0015c5f3da29&searchId=ed73317a-e1b0-4199-9a0c-6d31ae15d5af,,https://opencorporates.com/companies/nz/9429042828730,,Known mostly as Inspired Kindergartens
"P O Box 951, Tauranga Tauranga 3140",Tauranga Regional Free Kindergarten Association - Home Based Childcare,40293,49,75,1,Tauranga Regional Free Kindergarten Association Incorporated dba Inspired Kindergartens,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=f76e9429-e989-dc11-98a0-0015c5f3da29&searchId=ed73317a-e1b0-4199-9a0c-6d31ae15d5af,,https://opencorporates.com/companies/nz/9429042828730,,Known mostly as Inspired Kindergartens
"P O Box 951, Tauranga Tauranga 3140",Te Puke Free Kindergarten,5214,41,42,1,Tauranga Regional Free Kindergarten Association Incorporated dba Inspired Kindergartens,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=f76e9429-e989-dc11-98a0-0015c5f3da29&searchId=ed73317a-e1b0-4199-9a0c-6d31ae15d5af,,https://opencorporates.com/companies/nz/9429042828730,,Known mostly as Inspired Kindergartens
"P O Box 951, Tauranga Tauranga 3140",Te Puna Kindergarten,47655,53,42,1,Tauranga Regional Free Kindergarten Association Incorporated dba Inspired Kindergartens,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=f76e9429-e989-dc11-98a0-0015c5f3da29&searchId=ed73317a-e1b0-4199-9a0c-6d31ae15d5af,,https://opencorporates.com/companies/nz/9429042828730,,Known mostly as Inspired Kindergartens
"P O Box 951, Tauranga Tauranga 3140",Waihi Kindergarten,5552,35,35,1,Tauranga Regional Free Kindergarten Association Incorporated dba Inspired Kindergartens,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=f76e9429-e989-dc11-98a0-0015c5f3da29&searchId=ed73317a-e1b0-4199-9a0c-6d31ae15d5af,,https://opencorporates.com/companies/nz/9429042828730,,Known mostly as Inspired Kindergartens
"P O Box 951, Tauranga Tauranga 3140",Wairakei Kindergarten,46698,47,45,1,Tauranga Regional Free Kindergarten Association Incorporated dba Inspired Kindergartens,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=f76e9429-e989-dc11-98a0-0015c5f3da29&searchId=ed73317a-e1b0-4199-9a0c-6d31ae15d5af,,https://opencorporates.com/companies/nz/9429042828730,,Known mostly as Inspired Kindergartens
"P O Box 951, Tauranga Tauranga 3140",Welcome Bay Free Kindergarten,5632,51,43,1,Tauranga Regional Free Kindergarten Association Incorporated dba Inspired Kindergartens,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=f76e9429-e989-dc11-98a0-0015c5f3da29&searchId=ed73317a-e1b0-4199-9a0c-6d31ae15d5af,,https://opencorporates.com/companies/nz/9429042828730,,Known mostly as Inspired Kindergartens
"P O Box 951, Tauranga Tauranga 3140",Whakamarama & Districts Kindergarten,30194,39,30,1,Tauranga Regional Free Kindergarten Association Incorporated dba Inspired Kindergartens,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=f76e9429-e989-dc11-98a0-0015c5f3da29&searchId=ed73317a-e1b0-4199-9a0c-6d31ae15d5af,,https://opencorporates.com/companies/nz/9429042828730,,Known mostly as Inspired Kindergartens
"P O Box 951, Tauranga Tauranga 3140",Whangamata Free Kindergarten,40294,30,40,1,Tauranga Regional Free Kindergarten Association Incorporated dba Inspired Kindergartens,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=f76e9429-e989-dc11-98a0-0015c5f3da29&searchId=ed73317a-e1b0-4199-9a0c-6d31ae15d5af,,https://opencorporates.com/companies/nz/9429042828730,,Known mostly as Inspired Kindergartens
"P O Box 951, Tauranga Tauranga 3140 Total",,,1083,1082,26,Tauranga Regional Free Kindergarten Association Incorporated dba Inspired Kindergartens,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=f76e9429-e989-dc11-98a0-0015c5f3da29&searchId=ed73317a-e1b0-4199-9a0c-6d31ae15d5af,,https://opencorporates.com/companies/nz/9429042828730,,Known mostly as Inspired Kindergartens
"26 Taonui Street,  Palmerston North 4410",Ashhurst Kindergarten,5249,36,40,1,Ruahine Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=05b3c089-ec89-dc11-98a0-0015c5f3da29&searchId=fd844b20-0e63-4a9a-9bb4-7a7e8d398a1a,,,,
"26 Taonui Street,  Palmerston North 4410",Bulls Kindergarten,5251,45,40,1,Ruahine Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=05b3c089-ec89-dc11-98a0-0015c5f3da29&searchId=fd844b20-0e63-4a9a-9bb4-7a7e8d398a1a,,,,
"26 Taonui Street,  Palmerston North 4410",Campbell Street Early Learning,5252,53,46,1,Ruahine Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=05b3c089-ec89-dc11-98a0-0015c5f3da29&searchId=fd844b20-0e63-4a9a-9bb4-7a7e8d398a1a,,,,
"26 Taonui Street,  Palmerston North 4410",Cloverlea Kindergarten,5253,40,40,1,Ruahine Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=05b3c089-ec89-dc11-98a0-0015c5f3da29&searchId=fd844b20-0e63-4a9a-9bb4-7a7e8d398a1a,,,,
"26 Taonui Street,  Palmerston North 4410",Feilding Kindergarten,5254,22,40,1,Ruahine Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=05b3c089-ec89-dc11-98a0-0015c5f3da29&searchId=fd844b20-0e63-4a9a-9bb4-7a7e8d398a1a,,,,
"26 Taonui Street,  Palmerston North 4410",Follett Street Kindergarten,5533,51,40,1,Ruahine Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=05b3c089-ec89-dc11-98a0-0015c5f3da29&searchId=fd844b20-0e63-4a9a-9bb4-7a7e8d398a1a,,,,
"26 Taonui Street,  Palmerston North 4410",Foxton District Kindergarten,5269,42,40,1,Ruahine Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=05b3c089-ec89-dc11-98a0-0015c5f3da29&searchId=fd844b20-0e63-4a9a-9bb4-7a7e8d398a1a,,,,
"26 Taonui Street,  Palmerston North 4410",Hokowhitu Kindergarten,5256,46,40,1,Ruahine Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=05b3c089-ec89-dc11-98a0-0015c5f3da29&searchId=fd844b20-0e63-4a9a-9bb4-7a7e8d398a1a,,,,
"26 Taonui Street,  Palmerston North 4410",Holyoake Kindergarten,5305,25,30,1,Ruahine Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=05b3c089-ec89-dc11-98a0-0015c5f3da29&searchId=fd844b20-0e63-4a9a-9bb4-7a7e8d398a1a,,,,
"26 Taonui Street,  Palmerston North 4410",Kelvin Grove Kindergarten,40235,48,40,1,Ruahine Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=05b3c089-ec89-dc11-98a0-0015c5f3da29&searchId=fd844b20-0e63-4a9a-9bb4-7a7e8d398a1a,,,,
"26 Taonui Street,  Palmerston North 4410",Kimbolton Early Learning,47360,23,24,1,Ruahine Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=05b3c089-ec89-dc11-98a0-0015c5f3da29&searchId=fd844b20-0e63-4a9a-9bb4-7a7e8d398a1a,,,,
"26 Taonui Street,  Palmerston North 4410",Linton Kindergarten,5259,27,30,1,Ruahine Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=05b3c089-ec89-dc11-98a0-0015c5f3da29&searchId=fd844b20-0e63-4a9a-9bb4-7a7e8d398a1a,,,,
"26 Taonui Street,  Palmerston North 4410",Makino Kindergarten,5619,37,40,1,Ruahine Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=05b3c089-ec89-dc11-98a0-0015c5f3da29&searchId=fd844b20-0e63-4a9a-9bb4-7a7e8d398a1a,,,,
"26 Taonui Street,  Palmerston North 4410",Manchester Kindergarten,5261,54,40,1,Ruahine Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=05b3c089-ec89-dc11-98a0-0015c5f3da29&searchId=fd844b20-0e63-4a9a-9bb4-7a7e8d398a1a,,,,
"26 Taonui Street,  Palmerston North 4410",Mill Street Early Learning,5262,59,45,1,Ruahine Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=05b3c089-ec89-dc11-98a0-0015c5f3da29&searchId=fd844b20-0e63-4a9a-9bb4-7a7e8d398a1a,,,,
"26 Taonui Street,  Palmerston North 4410",Milson Kindergarten,5260,47,40,1,Ruahine Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=05b3c089-ec89-dc11-98a0-0015c5f3da29&searchId=fd844b20-0e63-4a9a-9bb4-7a7e8d398a1a,,,,
"26 Taonui Street,  Palmerston North 4410",Milverton Kindergarten,5534,50,40,1,Ruahine Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=05b3c089-ec89-dc11-98a0-0015c5f3da29&searchId=fd844b20-0e63-4a9a-9bb4-7a7e8d398a1a,,,,
"26 Taonui Street,  Palmerston North 4410",Pahiatua Early Learning,5306,71,50,1,Ruahine Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=05b3c089-ec89-dc11-98a0-0015c5f3da29&searchId=fd844b20-0e63-4a9a-9bb4-7a7e8d398a1a,,,,
"26 Taonui Street,  Palmerston North 4410",Parkland Kindergarten,5263,46,43,1,Ruahine Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=05b3c089-ec89-dc11-98a0-0015c5f3da29&searchId=fd844b20-0e63-4a9a-9bb4-7a7e8d398a1a,,,,
"26 Taonui Street,  Palmerston North 4410",Riverdale Kindergarten (PN),5264,48,40,1,Ruahine Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=05b3c089-ec89-dc11-98a0-0015c5f3da29&searchId=fd844b20-0e63-4a9a-9bb4-7a7e8d398a1a,,,,
"26 Taonui Street,  Palmerston North 4410",Roslyn Kindergarten,5265,42,40,1,Ruahine Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=05b3c089-ec89-dc11-98a0-0015c5f3da29&searchId=fd844b20-0e63-4a9a-9bb4-7a7e8d398a1a,,,,
"26 Taonui Street,  Palmerston North 4410",Ruahine Linton Camp Early Learning,52533,16,58,1,Ruahine Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=05b3c089-ec89-dc11-98a0-0015c5f3da29&searchId=fd844b20-0e63-4a9a-9bb4-7a7e8d398a1a,,,,
"26 Taonui Street,  Palmerston North 4410",Somerset Kindergarten,5255,33,40,1,Ruahine Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=05b3c089-ec89-dc11-98a0-0015c5f3da29&searchId=fd844b20-0e63-4a9a-9bb4-7a7e8d398a1a,,,,
"26 Taonui Street,  Palmerston North 4410",Summerhill Early Learning,47828,65,65,1,Ruahine Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=05b3c089-ec89-dc11-98a0-0015c5f3da29&searchId=fd844b20-0e63-4a9a-9bb4-7a7e8d398a1a,,,,
"26 Taonui Street,  Palmerston North 4410",Takaro Kindergarten,5266,30,35,1,Ruahine Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=05b3c089-ec89-dc11-98a0-0015c5f3da29&searchId=fd844b20-0e63-4a9a-9bb4-7a7e8d398a1a,,,,
"26 Taonui Street,  Palmerston North 4410",West End Kindergarten,5268,44,40,1,Ruahine Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=05b3c089-ec89-dc11-98a0-0015c5f3da29&searchId=fd844b20-0e63-4a9a-9bb4-7a7e8d398a1a,,,,
"26 Taonui Street,  Palmerston North 4410 Total",,,1100,1066,26,Ruahine Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=05b3c089-ec89-dc11-98a0-0015c5f3da29&searchId=fd844b20-0e63-4a9a-9bb4-7a7e8d398a1a,,,,
"P O Box 4005, Kamo Whangarei 0141",Anne West Kindergarten,5001,31,30,1,Northland Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=be2951e2-5a46-dd11-84f2-0015c5f3da29&searchId=79c6ed18-55cb-485d-b64c-8d6ac465efa4,,,,
"P O Box 4005, Kamo Whangarei 0141",Bream Bay Kindergarten,5563,49,40,1,Northland Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=be2951e2-5a46-dd11-84f2-0015c5f3da29&searchId=79c6ed18-55cb-485d-b64c-8d6ac465efa4,,,,
"P O Box 4005, Kamo Whangarei 0141",Comrie Park Kindergarten,45706,54,40,1,Northland Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=be2951e2-5a46-dd11-84f2-0015c5f3da29&searchId=79c6ed18-55cb-485d-b64c-8d6ac465efa4,,,,
"P O Box 4005, Kamo Whangarei 0141",Dargaville Free Kindergarten,5007,40,40,1,Northland Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=be2951e2-5a46-dd11-84f2-0015c5f3da29&searchId=79c6ed18-55cb-485d-b64c-8d6ac465efa4,,,,
"P O Box 4005, Kamo Whangarei 0141",Doubtless Bay Kindergarten,5002,35,30,1,Northland Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=be2951e2-5a46-dd11-84f2-0015c5f3da29&searchId=79c6ed18-55cb-485d-b64c-8d6ac465efa4,,,,
"P O Box 4005, Kamo Whangarei 0141",First Ave Hora Hora Kindergarten,5011,42,40,1,Northland Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=be2951e2-5a46-dd11-84f2-0015c5f3da29&searchId=79c6ed18-55cb-485d-b64c-8d6ac465efa4,,,,
"P O Box 4005, Kamo Whangarei 0141",Forest View Kindergarten,5010,39,40,1,Northland Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=be2951e2-5a46-dd11-84f2-0015c5f3da29&searchId=79c6ed18-55cb-485d-b64c-8d6ac465efa4,,,,
"P O Box 4005, Kamo Whangarei 0141",Hikurangi Kindergarten,5015,34,30,1,Northland Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=be2951e2-5a46-dd11-84f2-0015c5f3da29&searchId=79c6ed18-55cb-485d-b64c-8d6ac465efa4,,,,
"P O Box 4005, Kamo Whangarei 0141",Hillcrest Kindergarten,5004,30,30,1,Northland Kindergarten Association,Charity,https://register.charities.govt.nz/CharitiesRegister/ViewCharity?accountId=be2951e2-5a46-dd11-84f2-0015c5f3da29&searchId=79c6ed18-55cb-485d-b64c-8d6ac465efa4,,,,
